classification,Result,Average_Amount
Extreme Fear,LOSS,-47.24341684995174
Extreme Fear,WIN,173.42476737384945
Extreme Greed,LOSS,-12.660058520142067
Extreme Greed,WIN,160.59326895165108
Fear,LOSS,-16.572500892288794
Fear,WIN,151.84093464783427
Greed,LOSS,-34.21185713546615
Greed,WIN,165.76171050769707
Neutral,LOSS,-17.13028208039604
Neutral,WIN,112.43943157723415
