classification,Average_Bet_Size,Total_Trades
Fear,7816.109930785776,61837
Greed,5736.884375086974,50303
Extreme Fear,5349.7318429906545,21400
Neutral,4782.732661465797,37686
Extreme Greed,3112.2515645629123,39992
