Day_of_Week,Total_Trades,Avg_PnL,Win_Rate
Monday,34421,51.086170925859214,0.4051596409168821
Tuesday,36469,47.475549234281175,0.3508185033864378
Wednesday,39736,38.00378092638917,0.428477954499698
Thursday,30439,46.28062040714215,0.4616774532671901
Friday,29624,50.26448223548474,0.4801174723197407
Saturday,20419,63.30331242685734,0.37705078603261666
Sunday,20110,52.91818265489806,0.35415216310293385
